date,low,high,open,coinbase_close,coinbase_volume
2023-08-01,87.92,94.01,92.25,93.89,362571.69118469
2023-08-02,85.78,94.61,93.9,87.52,381635.31928942
2023-08-03,81.64,88.34,87.49,82.49,253881.0442962
2023-08-04,80.63,83.86,82.48,82.07,338341.38650237
2023-08-05,81.23,83.35,82.09,83.06,104351.21692343
2023-08-06,81.6,83.4,83.04,82.45,85378.940338
2023-08-07,79.19,83.32,82.45,82.41,156474.09548627
2023-08-08,81.68,85.4,82.42,83.85,229123.41958749
2023-08-09,83.15,84.58,83.85,84.03,131751.45107354
2023-08-10,82.56,84.36,84.02,83.07,76454.34273251
2023-08-11,82.55,83.61,83.06,83.5,95809.62677179
2023-08-12,83.22,83.94,83.5,83.42,46673.19993231
2023-08-13,81.01,83.74,83.44,81.85,73872.79049994
2023-08-14,81.43,83.02,81.85,82.03,86913.60762791
2023-08-15,76.94,82.17,82.03,79.17,201605.67775379
2023-08-16,72.72,79.53,79.18,74.47,299489.28728693
2023-08-17,60.75,75.74,74.48,64.78,426479.63638638
2023-08-18,63.15,65.98,64.8,63.96,313811.32236334
2023-08-19,63.49,64.99,63.94,64.16,155044.94111245
2023-08-20,63.97,65.9,64.15,65.26,142327.07669913
2023-08-21,64.33,67.23,65.28,66.99,263529.34377212
2023-08-22,62.01,67.35,67.01,64.8,318424.08343377
2023-08-23,64.03,66.74,64.77,65.62,154839.31615647
2023-08-24,63.86,65.9,65.62,64.86,103457.29733729
2023-08-25,63.52,65.43,64.86,65.1,142010.70180625
2023-08-26,64.85,65.53,65.1,64.99,59402.81005668
2023-08-27,64.81,65.91,64.98,65.38,63272.76198933
2023-08-28,63.93,65.71,65.35,65.46,103371.11199205
2023-08-29,64.56,70.68,65.46,68.86,246278.14751854
2023-08-30,66.52,69.03,68.87,67.67,135394.91864825
2023-08-31,63.22,68.34,67.65,63.89,179045.95756478
2023-09-01,61.82,64.25,63.89,62.96,114606.71353486
2023-09-02,62.94,64.71,62.99,64.59,87102.08835206
2023-09-03,63.55,64.91,64.58,63.93,70885.41275283
2023-09-04,62.98,65.01,63.92,63.74,84372.56286104
2023-09-05,62.53,63.78,63.74,63.14,95607.39557505
2023-09-06,61.43,63.86,63.13,62.83,106242.97949247
2023-09-07,62.45,64.48,62.84,63.71,108567.32892398
2023-09-08,61.51,64.21,63.7,62.6,96946.10455697
2023-09-09,62.52,63.29,62.6,63.04,51929.5593279
2023-09-10,60.05,63.06,63.05,61.11,143357.29674214
2023-09-11,57.64,61.65,61.1,58.84,183803.02422189
2023-09-12,58.64,61.5,58.85,59.97,172403.80742257
2023-09-13,59.62,62.78,59.97,61.97,197660.54414455
2023-09-14,61.94,63.43,61.97,62.84,153043.20281001
2023-09-15,62.57,66.26,62.83,65.89,164496.80934782
2023-09-16,64.42,67.03,65.89,65.41,102280.87430299
2023-09-17,62.79,65.43,65.41,63.57,88351.33894147
2023-09-18,62.95,67.9,63.59,65.88,209217.44039693
2023-09-19,65.61,68.41,65.88,67.29,156512.1376041
2023-09-20,63.28,67.88,67.3,64.55,238451.09000234
2023-09-21,62.92,65.03,64.58,64.71,186384.89406235
2023-09-22,63.96,65.88,64.71,64.37,148589.71342178
2023-09-23,64.38,65.27,64.38,65.09,78335.74231544
