year,month,return
2013,7,0.054065241058743885
2013,8,-0.014936600717694093
2013,9,0.024550998212568897
2013,10,0.04007691729259455
2013,11,0.019624079586592513
2013,12,0.018010534607890927
2014,1,-0.02111158875178276
2014,2,0.04558745675860698
2014,3,-0.003951438173373734
2014,4,0.00813157257560193
2014,5,0.020987272873476126
2014,6,0.02556718601723773
2014,7,-0.01169344473961309
2014,8,0.03645920855914486
2014,9,-0.01794505313939765
2014,10,0.017628185629290805
2014,11,0.023395922924269952
2014,12,0.01080822369477552
2015,1,0.03952389754089114
2015,2,-0.049278429944308755
2015,3,0.0029577910379641192
2015,4,-0.020655314239883538
2015,5,-0.012703054919240286
2015,6,-0.027148508972939744
2015,7,0.013521963984715057
2015,8,0.00328884976788002
2015,9,0.009033397782763464
2015,10,0.0019575872854964427
2015,11,-0.019427170862129417
2015,12,-0.0025385220587139656
2016,1,0.04556234047143759
2016,2,0.0404051166320929
2016,3,-0.0016792123539732806
2016,4,0.005829170917551085
2016,5,-0.007884391143559877
2016,6,0.060722205115267824
2016,7,0.01569134166742714
2016,8,0.0034711592227507637
2016,9,0.0034403347994231837
2016,10,-0.01619981319702868
2016,11,0.014235003858981132
2016,12,0.014396016146341228
2017,1,0.027318646970172944
2017,2,0.037066065634370204
2017,3,0.00427646006934479
2017,4,0.014011694384022277
2017,5,0.017241594760156742
2017,6,-0.0027634994052689876
2017,7,0.02383264056318124
2017,8,0.010225906823533526
2017,9,0.008707422628265515
2017,10,0.02266366466711478
2017,11,0.022306978645964648
2017,12,0.01088849742299658
2018,1,0.05443871421947688
2018,2,-0.026994745992191538
2018,3,-0.023978016836488703
2018,4,0.003939254195338471
2018,5,0.024690314971673732
2018,6,0.0022337673545282932
2018,7,0.02655496512836164
2018,8,0.006782909224797962
2018,9,-0.00801302075937349
2018,10,-0.013123612217380787
2018,11,0.012236552543826829
2018,12,0.046477032016519315
2019,1,0.008584874706235368
2019,2,-0.00926353206004582
2019,3,0.03117422062695563
2019,4,-0.012879655955942204
2019,5,0.045704375480797976
2019,6,0.022376962520356924
2019,7,0.0016356579104448432
2019,8,0.08318522992102295
2019,9,-0.02295005724031296
2019,10,-0.000901893308180135
2019,11,-0.0098096217144924
2019,12,0.022117144296581737
2020,1,0.00789975163285539
2020,2,-0.034531016058272024
2020,3,-0.09695270113009391
2020,4,0.11797180347172231
2020,5,-0.005494110985227785
2020,6,0.007821107171633201
2020,7,0.048051285473019956
2020,8,-0.0316059494552412
2020,9,-0.038744779374088045
2020,10,-0.02089493531214759
2020,11,0.08488118559246094
2020,12,0.04104108631333103
2021,1,-0.008903962591423675
2021,2,0.009792659412569238
2021,3,0.03095782295236904
2021,4,0.04777306105533996
2021,5,0.009160288400912542
2021,6,0.01971612865773187
2021,7,0.023068895613986395
2021,8,0.026867740281703467
2021,9,-0.043440139055071825
2021,10,0.026565907225927665
2021,11,0.0034899089493298785
2021,12,0.014391501830730569
2022,1,-0.028840681714549565
2022,2,0.001350389539618746
2022,3,-0.032631452726081145
2022,4,-0.0621931987725487
2022,5,-0.01847103155159191
2022,6,-0.01159295463453136
2022,7,0.010338960939791253
2022,8,-0.034549964801585786
2022,9,-0.0575709810572782
2022,10,-0.039558294103949065
2022,11,0.06143349054204972
2022,12,-0.009259910108854075
2023,1,0.058989961515887535
2023,2,-0.041366556373852226
2023,3,0.04843264173761863
2023,4,0.0035270550450341442
2023,5,-0.0064844796657062
2023,6,0.03037917556219205
2023,7,0.018394335689618124
2023,8,-0.013712183903712205
2023,9,-0.04494722974614196
2023,10,-0.010899973898712112
2023,11,0.08373827852168425
2023,12,0.04307472977969162
2024,1,0.011959107087351262
2024,2,0.04258259219191407
2024,3,0.03187634044448173
2024,4,-0.03130367966927061
2024,5,0.04525524283356952
2024,6,0.014676435550224909
2024,7,0.028688938702763345
2024,8,0.019222201784276027
2024,9,0.025119237650506276
2024,10,-0.006959161085205778
2024,11,0.01300923001569565
2024,12,-0.024874354139442834
2025,1,0.025842979081849737
2025,2,0.01753900065290348
2025,3,0.0069685369423528876
2025,4,0.012419014851098975
2025,5,0.007341418906754882
2025,6,0.02223660533442673
2025,7,0.0013044646637903057
2025,8,0.019947211209274895
2025,9,0.04745739719600239
2025,10,0.020290594363441272
2025,11,0.015814054262833555
2025,12,-2.7462790206045362e-05
2026,1,0.035344543500224646
2026,2,0.03333581854827061
2026,3,-0.05127819475913653
2026,4,0.02003563371511996
2026,5,0.010752595488855432
2026,6,-0.02044661631474154
