"time","equity","fundingRate","annualized","inPosition","spot","mark"
"1774231200000","101193.33240986535","4.4753979178541E-07","-0.0039494815876270255","False","67893.77","67893.77"
"1774234800000","101193.33240986535","0.0000026243201002480257","-0.001042047549873267","False","68302.69","68302.69"
"1774238400000","101193.33240986535","0.0000019534163942523563","0.0011942681281181266","False","68062.4","68062.4"
"1774242000000","101193.33240986535","0.000011044926534668477","0.013641830067898554","False","68525.02","68525.02"
"1774245600000","101193.33240986535","0.000006092868113789307","0.02385167643367023","False","68883.05","68883.05"
"1774249200000","101193.33240986535","3.37910707934507E-07","0.024684905174137444","False","67857.12","67857.12"
"1774252800000","101193.33240986535","0","0.024515266366869914","False","68296.08","68296.08"
"1774256400000","101193.33240986535","1.6064011990903E-07","0.024620762566220804","False","68413.45","68413.45"
"1774260000000","101193.33240986535","2.37776588629499E-08","0.02423967874354158","False","68314.4","68314.4"
"1774263600000","101193.33240986535","2.32682162771871E-09","0.02149728206082229","False","68532.37","68532.37"
"1774267200000","101193.33240986535","-0.000009473269360355715","0.008988094197198055","False","70100.6","70100.6"
"1774270800000","101193.33240986535","0.000003180809221077507","0.0002774900391619482","False","70723.06","70723.06"
"1774274400000","101193.33240986535","0.000008350278407869046","0.0024780569276687944","False","71465.99","71465.99"
"1774278000000","101193.33240986535","0.0000015542096629799784","0.0036925674593253966","False","71436.19","71436.19"
"1774281600000","101193.33240986535","0.0000015551145355156646","0.00534445273210917","False","70111.41","70111.41"
"1774285200000","101193.33240986535","0.000009501071935331133","0.015329151518201401","False","70548.28","70548.28"
"1774288800000","101193.33240986535","0.000010873293006839704","0.02681020843793456","False","71067.57","71067.57"
"1774292400000","101193.33240986535","0.000012867391116309626","0.04048036224745266","False","71063.16","71063.16"
"1774296000000","101193.33240986535","0.0000033636116016650627","0.05565054363127365","False","70665.35","70665.35"
"1774299600000","101193.33240986535","0.000011029971467790213","0.06471846294611301","False","70895.89","70895.89"
"1774303200000","101193.33240986535","0.000005693124808777449","0.06244281145720627","False","70835","70835"
"1774306800000","101193.33240986535","0.000011448507157248654","0.07335813573094382","False","70760.59","70760.59"
"1774310400000","101193.33240986535","0.000009545676841786895","0.0806830636622524","False","70883.3","70883.3"
"1774314000000","101193.33240986535","0.000002854515620112152","0.07382822803548521","False","70665.76","70665.76"
"1774317600000","101193.33240986535","8.20724142272324E-07","0.06328156884497488","False","70493.13","70493.13"
"1774321200000","101193.33240986535","1.69045528449742E-08","0.04920738321192706","False","70428.8","70428.8"
"1774324800000","101193.33240986535","8.82323703007395E-08","0.045366323827978554","False","70519.37","70519.37"
"1774328400000","101193.33240986535","0","0.03339710613136723","False","70348.37","70348.37"
"1774332000000","101193.33240986535","0","0.027139804999723138","False","70259.66","70259.66"
"1774335600000","101193.33240986535","0","0.014588348933407751","False","70515.98","70515.98"
"1774339200000","101193.33240986535","6.05399827796367E-07","0.0048093709221659975","False","71279.47","71279.47"
"1774342800000","101193.33240986535","7.34984081552229E-08","0.0017582969603126422","False","70947.98","70947.98"
"1774346400000","101193.33240986535","0","0.0008575040903731186","False","71309.42","71309.42"
"1774350000000","101193.33240986535","0","0.0008382279636097644","False","71255.93","71255.93"
"1774353600000","101193.33240986535","0","0.0007425672179853021","False","71135.59","71135.59"
"1774357200000","101193.33240986535","0","0.0007407665922242455","False","70941.91","70941.91"
