date,turnover,weights
2012-09-28,0.03811155677943835,"{'SPY': 0.1411611791868515, 'QQQ': 0.1228589968855763, 'TLT': 0.1506779789968734, 'IEF': 0.05112498915164806, 'TIP': 0.0, 'LQD': 0.11378715283415874, 'HYG': 0.21218601721768726, 'DBC': 0.09305942302952405, 'GLD': 0.0, 'SHY': 0.11514426269768074}"
2012-10-31,0.02103183302307321,"{'SPY': 0.14045689401511743, 'QQQ': 0.1216160280657215, 'TLT': 0.14848309116956815, 'IEF': 0.050066879472429514, 'TIP': 0.0, 'LQD': 0.11763721303743951, 'HYG': 0.21885187352594312, 'DBC': 0.09050231901118724, 'GLD': 0.0, 'SHY': 0.11238570170259365}"
2012-11-30,0.026921422187868645,"{'SPY': 0.1434036394347337, 'QQQ': 0.12120968986919499, 'TLT': 0.1484398440132246, 'IEF': 0.047981260770973824, 'TIP': 5.756476162975489e-05, 'LQD': 0.12198370729341078, 'HYG': 0.22496178018266014, 'DBC': 0.08342561901246119, 'GLD': 0.0, 'SHY': 0.1085368946617111}"
2012-12-31,0.010754076373996231,"{'SPY': 0.14473114167112974, 'QQQ': 0.11796057139203928, 'TLT': 0.14913845126122174, 'IEF': 0.04625152533600669, 'TIP': 0.0, 'LQD': 0.12164308778016532, 'HYG': 0.2273317007106824, 'DBC': 0.08405191891713736, 'GLD': 0.0, 'SHY': 0.10889160293161765}"
2013-01-31,0.025188430009448648,"{'SPY': 0.15385711327080334, 'QQQ': 0.1070298461637656, 'TLT': 0.14819805416766546, 'IEF': 0.046928442819364626, 'TIP': 0.0, 'LQD': 0.1230025065178606, 'HYG': 0.226608608027788, 'DBC': 0.08444078037256972, 'GLD': 0.0, 'SHY': 0.10993464866018277}"
2013-02-28,0.03759698632820671,"{'SPY': 0.16575514752437473, 'QQQ': 0.10749492174462698, 'TLT': 0.14661381253139422, 'IEF': 0.04976025657533866, 'TIP': 0.0, 'LQD': 0.11856391778120247, 'HYG': 0.215574160042519, 'DBC': 0.08269956556666473, 'GLD': 0.0, 'SHY': 0.1135382182338793}"
2013-03-28,0.06708813115889163,"{'SPY': 0.17870472418028566, 'QQQ': 0.09546473526674068, 'TLT': 0.15442687501185254, 'IEF': 0.04455151274844137, 'TIP': 0.0, 'LQD': 0.10898194448795542, 'HYG': 0.20885099806110388, 'DBC': 0.08980852565053318, 'GLD': 0.0, 'SHY': 0.11921068459308748}"
2013-04-30,0.027605811867003907,"{'SPY': 0.18787000972884932, 'QQQ': 0.09081206459963535, 'TLT': 0.15690211405287469, 'IEF': 0.04258338713299555, 'TIP': 0.0, 'LQD': 0.1053275780615515, 'HYG': 0.20544454688173644, 'DBC': 0.0896872336053536, 'GLD': 0.0, 'SHY': 0.12137306593700349}"
2013-05-31,0.023905289196080877,"{'SPY': 0.193575032423337, 'QQQ': 0.08583302530977135, 'TLT': 0.15732642305186073, 'IEF': 0.041832889504984386, 'TIP': 0.0, 'LQD': 0.10177927791430466, 'HYG': 0.2027697393488181, 'DBC': 0.09124476239382594, 'GLD': 0.0, 'SHY': 0.12563885005309794}"
2013-06-28,0.03559727701670756,"{'SPY': 0.1877246660838755, 'QQQ': 0.0878435541434239, 'TLT': 0.15155055284150545, 'IEF': 0.04806782126693811, 'TIP': 0.0, 'LQD': 0.11063263632677824, 'HYG': 0.20346955884909204, 'DBC': 0.0879690471235377, 'GLD': 0.0, 'SHY': 0.1227421633648492}"
2013-07-31,0.03885449882207787,"{'SPY': 0.1812597303421716, 'QQQ': 0.07652655796571518, 'TLT': 0.15100916259569205, 'IEF': 0.04696389402112517, 'TIP': 0.0, 'LQD': 0.11470894291210865, 'HYG': 0.21123538582225576, 'DBC': 0.0934121111973882, 'GLD': 0.0, 'SHY': 0.12488421514354349}"
2013-08-30,0.0324343428911726,"{'SPY': 0.18596622389553025, 'QQQ': 0.07623245659232174, 'TLT': 0.15962699909088934, 'IEF': 0.03683831722226489, 'TIP': 0.0, 'LQD': 0.10971305842909104, 'HYG': 0.21173026506211118, 'DBC': 0.09581007335456315, 'GLD': 0.0, 'SHY': 0.12408260635322853}"
2013-09-30,0.021495846969179444,"{'SPY': 0.1861846031538265, 'QQQ': 0.08358266092701813, 'TLT': 0.16187787180591004, 'IEF': 0.033702089599545966, 'TIP': 0.0, 'LQD': 0.11064152560566742, 'HYG': 0.21090083894859685, 'DBC': 0.09205589598279956, 'GLD': 0.0, 'SHY': 0.12105451397663566}"
2013-10-31,0.02621662401946337,"{'SPY': 0.18812374231650908, 'QQQ': 0.08487834919888787, 'TLT': 0.16850056060545826, 'IEF': 0.025861480333140542, 'TIP': 0.0, 'LQD': 0.1085961992525644, 'HYG': 0.2089478778283655, 'DBC': 0.09530669175843066, 'GLD': 0.0, 'SHY': 0.11978509870664372}"
2013-11-29,0.014866480676251174,"{'SPY': 0.18261077796869116, 'QQQ': 0.0879661934769809, 'TLT': 0.1671535497791025, 'IEF': 0.025288215169188707, 'TIP': 0.0, 'LQD': 0.10866513553708665, 'HYG': 0.2111205177486602, 'DBC': 0.09644701330632473, 'GLD': 0.0, 'SHY': 0.12074859701396533}"
2013-12-31,0.011352832503200214,"{'SPY': 0.17810352655018558, 'QQQ': 0.08982190100192596, 'TLT': 0.16689685602894277, 'IEF': 0.024980301221259934, 'TIP': 0.0, 'LQD': 0.10977866458056675, 'HYG': 0.21354743604033927, 'DBC': 0.09672727469782057, 'GLD': 0.0, 'SHY': 0.12014403987895925}"
2014-01-31,0.08039066645967567,"{'SPY': 0.1698229923775531, 'QQQ': 0.09626512710303303, 'TLT': 0.15134760910238515, 'IEF': 0.03843879464813933, 'TIP': 0.012828191822834331, 'LQD': 0.11724408645958379, 'HYG': 0.20883635968077763, 'DBC': 0.086557478335782, 'GLD': 0.0, 'SHY': 0.11865936046991171}"
2014-02-28,0.03589249783764686,"{'SPY': 0.16564042816617888, 'QQQ': 0.10371195297353084, 'TLT': 0.14533013975412054, 'IEF': 0.0457304477414417, 'TIP': 0.010789254532899792, 'LQD': 0.12009764934184339, 'HYG': 0.20446325445011374, 'DBC': 0.08522330549719587, 'GLD': 0.0, 'SHY': 0.11901356754267539}"
2014-03-31,0.03379866168049231,"{'SPY': 0.16069912473510553, 'QQQ': 0.10654914822841224, 'TLT': 0.13798328094621534, 'IEF': 0.0525073407436247, 'TIP': 0.013349049658195907, 'LQD': 0.12334200387555143, 'HYG': 0.2026563788747042, 'DBC': 0.08241901247133776, 'GLD': 0.0, 'SHY': 0.12049466046685293}"
