date,regime,weights,controls,realizedVol60d,turnover
2015-11-30,Contraction,"{'SPY': 0.07346235368368208, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.35, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.13777897145422233, 'HYG': 0.0, 'DBC': 0.17173410507455725, 'GLD': 0.06069604355811295, 'SHY': 0.2063285262294254}",[],0.04908728099852656,0.20629761891781423
2015-12-31,Contraction,"{'SPY': 0.03926591637732304, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.35, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.06784402630315822, 'HYG': 0.0, 'DBC': 0.07138612177239861, 'GLD': 0.04491455770592673, 'SHY': 0.42658937784119355}",['Drawdown recovery'],0.054767500589512345,0.4405217032235361
2016-01-29,Contraction,"{'SPY': 0.07389989920884646, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.35, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.11525480757855874, 'HYG': 0.0011736110797862822, 'DBC': 0.11997214081318111, 'GLD': 0.09355714369760343, 'SHY': 0.2461423976220241}",[],0.05619248008728227,0.3608939604383389
2016-02-29,Contraction,"{'SPY': 0.07911250798006138, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.3499999999999999, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.13455631673427235, 'HYG': 0.0, 'DBC': 0.13034576337788403, 'GLD': 0.09407150577287232, 'SHY': 0.21191390613490993}",[],0.05975769425304872,0.07080420513380085
2016-03-31,Contraction,"{'SPY': 0.07310086287988932, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.35, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.16635743006090195, 'HYG': 0.0, 'DBC': 0.14786192982192325, 'GLD': 0.056727943597781494, 'SHY': 0.20595183363950412}",[],0.056149093132485166,0.09863455954133758
2016-04-29,Contraction,"{'SPY': 0.06771013410919184, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.35, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.17133599960422946, 'HYG': 0.0, 'DBC': 0.15285586921878822, 'GLD': 0.05309893701438567, 'SHY': 0.2049990600534049}",[],0.054950213110436394,0.019945017880384983
2016-05-31,Contraction,"{'SPY': 0.06969676691611519, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.35, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.1718014332427009, 'HYG': 0.0, 'DBC': 0.1487597924298524, 'GLD': 0.056546222844861195, 'SHY': 0.20319578456647042}",[],0.048613345719691614,0.011798704551740598
2016-06-30,Contraction,"{'SPY': 0.04822901294920932, 'QQQ': 0.0, 'IWM': 0.0, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.35, 'IEF': 0.012333721892596931, 'TIP': 0.0, 'LQD': 0.19232040407556103, 'HYG': 0.020909305234615306, 'DBC': 0.17229120925723554, 'GLD': 0.0, 'SHY': 0.20391634659078206}",[],0.052984276681107084,0.15602795362353422
2016-07-29,Recovery,"{'SPY': 0.24905208616021454, 'QQQ': 0.01593761824144598, 'IWM': 0.05943965720210162, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.18520211828110567, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.049942470736448266, 'HYG': 0.14952080575813023, 'DBC': 0.23425145522609234, 'GLD': 0.0, 'SHY': 0.056653788394461446}",[],0.05775548391667514,0.9335441902938492
2016-08-31,Recovery,"{'SPY': 0.34434071958262974, 'QQQ': 0.016599880455415977, 'IWM': 0.03589074470457716, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.12168905761367821, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.0, 'HYG': 0.15833383006795665, 'DBC': 0.23269104979135274, 'GLD': 0.05267105686303582, 'SHY': 0.03778366092135377}",[],0.060539352471766505,0.31486995361849485
2016-09-30,Recovery,"{'SPY': 0.35, 'QQQ': 0.0, 'IWM': 0.020589206897937556, 'EFA': 0.0, 'EEM': 0.0, 'TLT': 0.11061309537642593, 'IEF': 0.0, 'TIP': 0.0, 'LQD': 0.0, 'HYG': 0.22251676117626762, 'DBC': 0.2275437162054458, 'GLD': 0.03333970163903511, 'SHY': 0.03539751870488813}",[],0.07589223878142193,0.13968442305136236
