date,value
2019-12-27,-0.015309646213414019
2019-12-30,-0.017834668391251585
2019-12-31,-0.01864634092895201
2020-01-02,-0.010374241301652432
2020-01-03,-0.009700524284103063
2020-01-06,-0.008302186176400994
2020-01-07,-0.009923851942958417
2020-01-08,-0.009241905556209407
2020-01-09,-0.005114535004895782
2020-01-10,-0.003799552555277752
2020-01-13,-0.0019151519782487636
2020-01-14,-0.002039681921747749
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,-0.0022737428108766666
2020-01-27,-0.007409450542170126
2020-01-28,-0.0029446992671762207
2020-01-29,-0.0005359614436153404
2020-01-30,0.0
2020-01-31,-0.00539870562393352
2020-02-03,-0.0022138488751282104
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-10,0.0
2020-02-11,-0.0007225748380454977
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,-0.0024367625255062864
2020-02-24,-0.015471274721673423
2020-02-25,-0.029147814198731248
2020-02-26,-0.029976629854801762
2020-02-27,-0.049944595091499955
2020-02-28,-0.04908222509192284
2020-03-02,-0.016860363905658926
2020-03-03,-0.03314454642788689
2020-03-04,-0.005159357815038956
2020-03-05,-0.027701796251778932
2020-03-06,-0.04372681589482086
2020-03-09,-0.108498191220326
2020-03-10,-0.07615882694734066
2020-03-11,-0.11279551480014038
2020-03-12,-0.18411900479422516
2020-03-13,-0.136727810687726
2020-03-16,-0.21858800267887668
2020-03-17,-0.18603912118045351
2020-03-18,-0.22278176598673638
2020-03-19,-0.2182877657179073
2020-03-20,-0.24042036073928175
2020-03-23,-0.24575478629420533
2020-03-24,-0.19139858607666216
2020-03-25,-0.18432603377547174
2020-03-26,-0.14696331857303635
2020-03-27,-0.16700617295486275
2020-03-30,-0.14786374019100657
2020-03-31,-0.15959385634430234
2020-04-01,-0.1629279152646349
2020-04-02,-0.16101877347746896
2020-04-03,-0.1622884433664299
2020-04-06,-0.1574529738121473
2020-04-07,-0.1575444479166943
2020-04-08,-0.15473986862841016
2020-04-09,-0.15230226658738177
2020-04-13,-0.15251942027692245
2020-04-14,-0.15031491733076796
2020-04-15,-0.15196273884156863
2020-04-16,-0.1514201579886807
2020-04-17,-0.15000775500714136
2020-04-20,-0.1512660867105543
2020-04-21,-0.15393014812418349
2020-04-22,-0.15224772777713502
2020-04-23,-0.15216830294085293
2020-04-24,-0.15138548407485997
2020-04-27,-0.1503541029722113
2020-04-28,-0.15041354713640875
2020-04-29,-0.14776397747225767
2020-04-30,-0.14793060295856675
2020-05-01,-0.14461660379890462
2020-05-04,-0.14633992551212593
2020-05-05,-0.1489213053280909
2020-05-06,-0.15599558885767806
2020-05-07,-0.14797089524779583
2020-05-08,-0.15379947666898197
2020-05-11,-0.15753828272170867
2020-05-12,-0.15284000761197591
2020-05-13,-0.1495951948383174
2020-05-14,-0.14544255782371462
2020-05-15,-0.14634843054316127
2020-05-18,-0.15640206845466442
2020-05-19,-0.1541103734878938
2020-05-20,-0.1528835845144917
2020-05-21,-0.15206257317309668
2020-05-22,-0.1492787728005004
2020-05-26,-0.15518152451187717
2020-05-27,-0.15573447990637967
2020-05-28,-0.15716411639311823
2020-05-29,-0.15367203194904833
2020-06-01,-0.15627714232257672
2020-06-02,-0.15810217627229883
2020-06-03,-0.1648577311700814
2020-06-04,-0.1709158926027151
2020-06-05,-0.17498996842656667
2020-06-08,-0.17323245917974506
2020-06-09,-0.16804108369477744
2020-06-10,-0.16058433171880004
2020-06-11,-0.15291874830166807
2020-06-12,-0.15695968347833644
2020-06-15,-0.15700472306388213
2020-06-16,-0.16329079850489314
2020-06-17,-0.16129764507177546
2020-06-18,-0.15689167769406898
2020-06-19,-0.15629611299098767
2020-06-22,-0.15639707952562376
2020-06-23,-0.15887839785110414
2020-06-24,-0.15444556699448708
2020-06-25,-0.15332323991301633
2020-06-26,-0.14852009481879747
2020-06-29,-0.14945286025905324
2020-06-30,-0.1517027087109467
2020-07-01,-0.15312407509763926
2020-07-02,-0.15224107040546542
2020-07-06,-0.15380228913912197
2020-07-07,-0.14732662369347516
2020-07-08,-0.14879461389052384
2020-07-09,-0.1421423410700705
2020-07-10,-0.14473726865019698
2020-07-13,-0.14315692690642412
2020-07-14,-0.14229797504083808
2020-07-15,-0.14409079020714088
2020-07-16,-0.14271052540951867
2020-07-17,-0.14299661911471961
2020-07-20,-0.1416431128639799
2020-07-21,-0.1403629319869223
2020-07-22,-0.13817879939951638
2020-07-23,-0.13286658259789064
2020-07-24,-0.13241540913395045
2020-07-27,-0.13298345584566929
2020-07-28,-0.12918214609113488
2020-07-29,-0.1290291487753782
2020-07-30,-0.1265603807204959
2020-07-31,-0.12620749610593496
2020-08-03,-0.12814567359054774
2020-08-04,-0.12086142671482691
2020-08-05,-0.12385871032118623
2020-08-06,-0.11966188774474451
2020-08-07,-0.12488144117967148
2020-08-10,-0.12735986450489611
2020-08-11,-0.13983407248423652
2020-08-12,-0.14462175217858453
2020-08-13,-0.1461600622513618
2020-08-14,-0.14809295257856792
2020-08-17,-0.1439919249173901
2020-08-18,-0.139695801385183
2020-08-19,-0.14647206830055148
2020-08-20,-0.14150091929265762
2020-08-21,-0.14007438731401023
2020-08-24,-0.14174705958361555
2020-08-25,-0.14504193885499816
2020-08-26,-0.14508732131663682
2020-08-27,-0.15388416516933434
2020-08-28,-0.15156834430545374
2020-08-31,-0.1491393228483917
2020-09-01,-0.1453098924409294
2020-09-02,-0.1428563827094229
2020-09-03,-0.15531061545965652
2020-09-04,-0.15857349158701184
2020-09-08,-0.16914627591408005
2020-09-09,-0.16172378151857625
2020-09-10,-0.167563219278544
2020-09-11,-0.16801235833064454
2020-09-14,-0.16273316535883076
2020-09-15,-0.1603981305264499
2020-09-16,-0.16078095240867574
2020-09-17,-0.1637387536108209
2020-09-18,-0.1664674539146278
2020-09-21,-0.17232646789276695
2020-09-22,-0.1689862318522033
2020-09-23,-0.17854980505185036
2020-09-24,-0.17746296088305136
2020-09-25,-0.17236544098476225
2020-09-28,-0.16562525391698457
2020-09-29,-0.16722108547261716
2020-09-30,-0.16490613487208616
2020-10-01,-0.16173531304330968
2020-10-02,-0.16571838262027516
2020-10-05,-0.15817007857452792
2020-10-06,-0.16237632829622528
2020-10-07,-0.15676263513487854
2020-10-08,-0.1536260077656738
2020-10-09,-0.14968989701831026
2020-10-12,-0.14449840813982762
2020-10-13,-0.14672088435386366
2020-10-14,-0.14868822881537191
2020-10-15,-0.14843438699888156
2020-10-16,-0.14968189811716825
2020-10-19,-0.1541916493934461
2020-10-20,-0.15249559429185788
2020-10-21,-0.15342044331329208
2020-10-22,-0.15187487579304382
2020-10-23,-0.15109830273962188
2020-10-26,-0.15744657611773316
2020-10-27,-0.15741860536725893
2020-10-28,-0.1698398481649449
2020-10-29,-0.16664346624415283
2020-10-30,-0.17087195545690792
2020-11-02,-0.1667019150833431
2020-11-03,-0.16015595665125248
2020-11-04,-0.15213110258676443
2020-11-05,-0.14402762570571814
2020-11-06,-0.14470238896694
2020-11-09,-0.143437920861741
2020-11-10,-0.14312708624079584
2020-11-11,-0.1404536983742205
2020-11-12,-0.14363628616904067
2020-11-13,-0.1392339094393782
2020-11-16,-0.134419260737499
2020-11-17,-0.13527049430461024
2020-11-18,-0.13890314676621873
2020-11-19,-0.1369352538126828
2020-11-20,-0.13816698821482298
2020-11-23,-0.13670767304512588
2020-11-24,-0.1314065016047885
2020-11-25,-0.13094573953275845
2020-11-27,-0.12990764720046488
2020-11-30,-0.13246382170592852
2020-12-01,-0.12404545810882761
2020-12-02,-0.12186957055636671
2020-12-03,-0.12011022877989508
2020-12-04,-0.11336163088773654
2020-12-07,-0.11155586364373393
2020-12-08,-0.10794219356709367
2020-12-09,-0.11729006205821102
2020-12-10,-0.11416260689716584
2020-12-11,-0.11567541336983045
2020-12-14,-0.11585633693712116
2020-12-15,-0.10441002160341861
2020-12-16,-0.10249080588603487
2020-12-17,-0.09589085339687309
2020-12-18,-0.0981706514090801
2020-12-21,-0.1010741508134404
2020-12-22,-0.10122474839702955
2020-12-23,-0.09876480021492573
2020-12-24,-0.09614076371824043
2020-12-28,-0.09292822142202128
2020-12-29,-0.095483316302581
2020-12-30,-0.09229353250688177
2020-12-31,-0.08978058047073056
2021-01-04,-0.09712770173563334
2021-01-05,-0.08853952129857778
2021-01-06,-0.08508958603938133
2021-01-07,-0.07298799917462584
2021-01-08,-0.07135343689706519
2021-01-11,-0.07770084933622856
2021-01-12,-0.07296464827281679
2021-01-13,-0.07219545624654133
2021-01-14,-0.07076972410492421
2021-01-15,-0.07931132270955188
2021-01-19,-0.0709799685546324
2021-01-20,-0.05980107375516419
2021-01-21,-0.05939439820943804
2021-01-22,-0.06197814500840315
2021-01-25,-0.05817322680961379
2021-01-26,-0.05957978097950045
2021-01-27,-0.0765649438674566
2021-01-28,-0.07319811944430932
2021-01-29,-0.08585617222071984
2021-02-01,-0.06969706886968685
2021-02-02,-0.06025584510594295
2021-02-03,-0.059724417650906525
2021-02-04,-0.052234687240984234
2021-02-05,-0.04675906069635438
2021-02-08,-0.03667618680170093
2021-02-09,-0.03576344601842718
2021-02-10,-0.03714770703089987
2021-02-11,-0.03668107778340379
2021-02-12,-0.03247416747707932
2021-02-16,-0.03444269212914253
2021-02-17,-0.0372642590798975
2021-02-18,-0.04226255794578082
2021-02-19,-0.04034386963612202
2021-02-22,-0.04554573315985855
2021-02-23,-0.0465066746413777
2021-02-24,-0.03638643254403706
2021-02-25,-0.0600840964151943
2021-02-26,-0.06572027669713842
2021-03-01,-0.04708599220260101
2021-03-02,-0.05471649447822213
2021-03-03,-0.0668989928013286
2021-03-04,-0.07773230427745603
2021-03-05,-0.06385076455743566
2021-03-08,-0.07306387351992616
2021-03-09,-0.05609506310190615
2021-03-10,-0.050734512865814874
2021-03-11,-0.03815883171920109
2021-03-12,-0.03913865163274777
2021-03-15,-0.034465470049893865
2021-03-16,-0.03677689949340823
2021-03-17,-0.03287738888250702
2021-03-18,-0.05402951049169691
2021-03-19,-0.05007661184917811
2021-03-22,-0.044899513961843884
2021-03-23,-0.05683057675236103
2021-03-24,-0.06209733573564391
2021-03-25,-0.05954455485136967
2021-03-26,-0.04605820910945835
2021-03-29,-0.05127527900588813
2021-03-30,-0.054091278158487244
2021-03-31,-0.04586322315907665
2021-04-01,-0.03814372846322511
2021-04-05,-0.03289971017243498
2021-04-06,-0.03247225729653558
2021-04-07,-0.033424522618817676
2021-04-08,-0.029052793482838846
2021-04-09,-0.027501050919671366
2021-04-12,-0.028457460873512974
2021-04-13,-0.025242692446361126
2021-04-14,-0.025436142927004246
2021-04-15,-0.01885938294372036
2021-04-16,-0.017684258786774487
2021-04-19,-0.02150169921748557
2021-04-20,-0.026002375995077376
2021-04-21,-0.019738348152768648
2021-04-22,-0.023826913282206763
2021-04-23,-0.0175675962493832
2021-04-26,-0.014728150745435209
2021-04-27,-0.014937890861151382
2021-04-28,-0.014771710918814018
2021-04-29,-0.012895499488509654
2021-04-30,-0.017427214183192374
2021-05-03,-0.015311004462580602
2021-05-04,-0.02037249248339934
2021-05-05,-0.020443696770502173
2021-05-06,-0.015588798591464892
2021-05-07,-0.009551097325943392
