year,month,return
2016,1,0.01944674186133577
2016,2,0.022408831764607395
2016,3,0.014999239282695642
2016,4,0.017406101669372065
2016,5,0.0011491214938719185
2016,6,0.04283623126072045
2016,7,-0.0008250784963905744
2016,8,0.004446720337807575
2016,9,0.011152158766589926
2016,10,-0.015906382175831957
2016,11,0.025654537966438795
2016,12,0.024535061496465893
2017,1,0.006605641414295205
2017,2,0.019260478267062453
2017,3,-0.006659024440850536
2017,4,0.00200449832514793
2017,5,0.000800244939724637
2017,6,0.006427113334160461
2017,7,0.019677794781393754
2017,8,0.001806950611217717
2017,9,0.02392157971050035
2017,10,0.019094955354335807
2017,11,0.017277409305096914
2017,12,0.010704170230735333
2018,1,0.029090374020286802
2018,2,-0.02777245538380424
2018,3,0.000343526732721644
2018,4,0.00951167511887685
2018,5,0.024958642564255618
2018,6,-0.0003445379382328584
2018,7,0.01032190676959277
2018,8,0.015839432960237154
2018,9,-0.0024070562611784307
2018,10,-0.031173121480928545
2018,11,-0.010735206026059263
2018,12,0.010520385628745244
2019,1,0.026858800163798602
2019,2,0.003268268772015359
2019,3,0.024444337062664134
2019,4,-0.0009798060751118332
2019,5,0.01291103429645779
2019,6,0.0219845367135183
2019,7,0.0003874368877549994
2019,8,0.042199957948912514
2019,9,-0.009766989003061721
2019,10,0.004122317215309534
2019,11,-0.0015946747091609703
2019,12,0.01987985174519702
2020,1,-0.014694558091656096
2020,2,-0.04509109102900566
2020,3,-0.1307762950577912
2020,4,0.01090305508363465
2020,5,-0.00408858581329119
2020,6,0.0028352509222266953
2020,7,0.021481893681313036
2020,8,-0.009878297544504533
2020,9,-0.021397665995282367
2020,10,-0.010819437462806225
2020,11,0.04449744566183034
2020,12,0.0389491947007472
2021,1,0.006185307670912632
2021,2,0.02422906141869774
2021,3,0.017631549832433313
2021,4,0.02840235258370183
2021,5,0.0158134713293252
2021,6,0.012941298819687752
2021,7,0.0055571755826770985
2021,8,0.011478319067868892
2021,9,-0.01846352318018918
2021,10,0.029369188461269236
2021,11,-0.020421069062733888
2021,12,0.021559134476402564
2022,1,-0.014435685862541625
2022,2,0.00040310280504352036
2022,3,-0.009364304890616237
2022,4,-0.04350122700689296
2022,5,0.005782853223335049
2022,6,-0.029932772576299116
2022,7,0.019492805275263647
2022,8,-0.03198537061834261
2022,9,-0.06298912851660532
2022,10,-0.018735967377542795
2022,11,0.03724947892982744
2022,12,-0.015431899639561819
2023,1,0.041402586277583975
2023,2,-0.03722095930271219
2023,3,0.03230772312439223
2023,4,0.002573247590353045
2023,5,-0.020957573973895194
2023,6,0.01575981020706263
2023,7,0.03564509187956011
2023,8,-0.022080909026464868
2023,9,-0.03022333714063008
2023,10,-0.011394483331144789
2023,11,0.03188743470155231
2023,12,0.038180296245866385
2024,1,6.828959781302046e-05
2024,2,0.026015139051535074
2024,3,0.031783426134910586
2024,4,-0.023045183643794376
2024,5,0.03073242116749575
2024,6,0.01083190211501095
2024,7,0.017937622422158572
2024,8,0.008647738736847321
2024,9,0.024407625970992664
2024,10,-0.010345926584162557
2024,11,0.0049549589107911185
2024,12,-0.01445869744154371
2025,1,0.024632089499482257
2025,2,0.009347333724017526
2025,3,-0.0013387348643101316
2025,4,-0.010226860541997618
2025,5,0.010618612126099825
2025,6,0.023815813605914782
2025,7,0.003083466825061887
2025,8,0.01810226856983088
2025,9,0.034561866642593086
2025,10,0.01844734048591512
2025,11,0.004229847680011778
2025,12,0.00027271309935472665
2026,1,0.042210168152801986
2026,2,0.028214078133451892
2026,3,2.26659292457132e-05
2026,4,0.059583163268592365
2026,5,0.007441254510218709
2026,6,-0.008616676379057941
